dataset_id,term,dataset,model,rmse,domain,num_variates
ds-1683-H,long,ds-1683-H/Medium/long,tft,2.077272923424868,['Database'],1
ds-1678-H,short,ds-1678-H/Medium/short,persistence,1.219402648264204,['Database'],100
ds-1678-H,short,ds-1678-H/Medium/short,seasonalnaive,1.439336289317562,['Database'],100
ds-1678-H,short,ds-1678-H/Medium/short,lstm,1.2444672587947032,['Database'],100
ds-1678-H,short,ds-1678-H/Medium/short,tft,1.5814691645506336,['Database'],100
ds-1678-H,medium,ds-1678-H/Medium/medium,persistence,1.438589515346235,['Database'],100
ds-1678-H,medium,ds-1678-H/Medium/medium,seasonalnaive,1.4527043521982832,['Database'],100
ds-1678-H,medium,ds-1678-H/Medium/medium,lstm,1.1466826161302943,['Database'],100
ds-1678-H,medium,ds-1678-H/Medium/medium,tft,1.185290021427597,['Database'],100
ds-1678-H,long,ds-1678-H/Medium/long,persistence,1.3547805877435537,['Database'],100
ds-1678-H,long,ds-1678-H/Medium/long,seasonalnaive,1.296877342702034,['Database'],100
ds-1678-H,long,ds-1678-H/Medium/long,lstm,1.16769481296068,['Database'],100
ds-1678-H,long,ds-1678-H/Medium/long,tft,1.2485104840646892,['Database'],100
ds-1677-H,short,ds-1677-H/Medium/short,persistence,0.9267831299348096,['Database'],100
ds-1677-H,short,ds-1677-H/Medium/short,seasonalnaive,1.0201478886504547,['Database'],100
ds-1677-H,short,ds-1677-H/Medium/short,lstm,1.3712182921049298,['Database'],100
ds-1677-H,short,ds-1677-H/Medium/short,tft,1.8329527514014503,['Database'],100
ds-1677-H,medium,ds-1677-H/Medium/medium,persistence,1.067205936458596,['Database'],100
ds-1677-H,medium,ds-1677-H/Medium/medium,seasonalnaive,1.080988761492902,['Database'],100
ds-1677-H,medium,ds-1677-H/Medium/medium,lstm,1.2312478188432456,['Database'],100
ds-1677-H,medium,ds-1677-H/Medium/medium,tft,1.4669813708591928,['Database'],100
ds-1677-H,long,ds-1677-H/Medium/long,persistence,1.039244802753838,['Database'],100
ds-1677-H,long,ds-1677-H/Medium/long,seasonalnaive,1.0921021316581256,['Database'],100
ds-1677-H,long,ds-1677-H/Medium/long,lstm,1.296405119026799,['Database'],100
